id,mod_hex_id,courseID,mod_type,name,markdown,order,childOrder,treelevel,chpModPar,seqModPar,vrtModPar,parent,modparent_childlevel
block-v1:MITxPRO+LASERxB1+1T2019+type@course+block@course,course,MITxPRO+LASERxB1+1T2019,course,"Strategy, Products, Capability Work, and Teams",NA,1,0,0,NA,NA,NA,course,course/0
block-v1:MITxPRO+LASERxB1+1T2019+type@chapter+block@41ad78dff2594088a4eb8b6b7ce406f3,41ad78dff2594088a4eb8b6b7ce406f3,MITxPRO+LASERxB1+1T2019,chapter,Week 0: Get Started (40 min),NA,2,1,1,41ad78dff2594088a4eb8b6b7ce406f3,NA,NA,course,course/1
block-v1:MITxPRO+LASERxB1+1T2019+type@sequential+block@c1b52a1ef69a404ea9132e95ad25093a,c1b52a1ef69a404ea9132e95ad25093a,MITxPRO+LASERxB1+1T2019,sequential,Informed Consent (1 min),NA,3,1,2,41ad78dff2594088a4eb8b6b7ce406f3,c1b52a1ef69a404ea9132e95ad25093a,NA,41ad78dff2594088a4eb8b6b7ce406f3,41ad78dff2594088a4eb8b6b7ce406f3/1
block-v1:MITxPRO+LASERxB1+1T2019+type@vertical+block@4aea5151404640ac8ebe81deff85def0,4aea5151404640ac8ebe81deff85def0,MITxPRO+LASERxB1+1T2019,vertical,Informed Consent,NA,4,1,3,41ad78dff2594088a4eb8b6b7ce406f3,c1b52a1ef69a404ea9132e95ad25093a,4aea5151404640ac8ebe81deff85def0,c1b52a1ef69a404ea9132e95ad25093a,c1b52a1ef69a404ea9132e95ad25093a/1
block-v1:MITxPRO+LASERxB1+1T2019+type@problem+block@b613861cecf84ffcab01afb23f660475,b613861cecf84ffcab01afb23f660475,MITxPRO+LASERxB1+1T2019,problem,Informed Consent Form," 
<h4><strong>MIT Boeing - NASA ìLeadership at all Levelsî Pilot Program </strong></h4>

Thank you for participating in the MIT - Boeing - NASA ìLeadership at all Levelsî pilot program.
 
<h4><strong>Description of the Research </strong></h4>
You are invited to participate in a Boeing-led research study on online open certificates focused on learner motivation and social engagement. The study consists of demographic data, online surveys, and learner interaction patterns on the learning platforms.

<h4><strong>Risk and Benefits</strong></h4>
There are no foreseeable risks involved in participating in this study. This research could expand our understanding on learner motivation and social engagement and will expand our understanding  of learner engagement and inform the design of future online certificates. There are no direct benefits for participation.

<h4><strong>Data Storage to Protect Confidentiality</strong></h4>
Your data will be stored in a password protected electronic format.
 
<h4><strong>How the Results Will Be Used:</strong></h4>
The results will be used to explore learner trajectoryís and social networking engagement. The results might be presented or published in journals. All personal identifiable will be removed prior to any publication.  
 
Research question can be addressed to Michael Richey, PhD, Boeing Associate Technical Fellow (michael.c.richey@boeing.com)
 
By clicking the ìI Agreeî box below, I give my consent to MIT to disclose data to the Boeing Research Team. By clicking on the ìI Do Not Agreeî button below, you will be unenrolled from this pilot program.



(x)I Agree
()I Do Not Agree {{In Order to continue with this course you must agree to the terms above.}}",5,1,4,41ad78dff2594088a4eb8b6b7ce406f3,c1b52a1ef69a404ea9132e95ad25093a,4aea5151404640ac8ebe81deff85def0,4aea5151404640ac8ebe81deff85def0,4aea5151404640ac8ebe81deff85def0/1
block-v1:MITxPRO+LASERxB1+1T2019+type@sequential+block@c07316dff77348caa08e94ddaed4bec3,c07316dff77348caa08e94ddaed4bec3,MITxPRO+LASERxB1+1T2019,sequential,Pre-Assessment (10 min),NA,6,2,2,41ad78dff2594088a4eb8b6b7ce406f3,c07316dff77348caa08e94ddaed4bec3,NA,41ad78dff2594088a4eb8b6b7ce406f3,41ad78dff2594088a4eb8b6b7ce406f3/2
block-v1:MITxPRO+LASERxB1+1T2019+type@vertical+block@0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e,MITxPRO+LASERxB1+1T2019,vertical,Pre-Assessment,NA,7,1,3,41ad78dff2594088a4eb8b6b7ce406f3,c07316dff77348caa08e94ddaed4bec3,0a393e10d08c453ea9659c51826bd65e,c07316dff77348caa08e94ddaed4bec3,c07316dff77348caa08e94ddaed4bec3/1
block-v1:MITxPRO+LASERxB1+1T2019+type@problem+block@e2911e79efc2420eac45d9f671463d4b,e2911e79efc2420eac45d9f671463d4b,MITxPRO+LASERxB1+1T2019,problem,Question #1,">>A companyís strategy: <<
(x) Defines the companyís purpose and objectives
(x) Limits a company's markets, products and geographical regions where it competes
(x) Defines a company's approach to gaining competitive advantage
(x) Defines the action programs that will be done to implement it
(x) Provides guidance for decision-making particularly priorities for resource allocation
(x) All of the above
",8,1,4,41ad78dff2594088a4eb8b6b7ce406f3,c07316dff77348caa08e94ddaed4bec3,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e/1
block-v1:MITxPRO+LASERxB1+1T2019+type@problem+block@519d1b8c59404d67b54e96c5c8a830b2,519d1b8c59404d67b54e96c5c8a830b2,MITxPRO+LASERxB1+1T2019,problem,Question #2,">>Strategic thinking relies on two skills, namely thinking:<<
(x) Divergently and creatively
(x) Fast and slow
(x) Critically and creatively
(x) Convergently and critically

",9,2,4,41ad78dff2594088a4eb8b6b7ce406f3,c07316dff77348caa08e94ddaed4bec3,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e/2
block-v1:MITxPRO+LASERxB1+1T2019+type@problem+block@531db53f81f646edb0cdcfe0085b03b7,531db53f81f646edb0cdcfe0085b03b7,MITxPRO+LASERxB1+1T2019,problem,Question #3,"If youíre an engineer on a product team, you should:
(x) 	Focus entirely on your product and leave understanding your companyís strategy to the CEO and strategy team
(x) 	Understand your companyís strategy broadly but primarily focus on the product you are working on
(x) 	Understand your companyís strategy well enough to be able to trace its key elements to the products you are working on 
",10,3,4,41ad78dff2594088a4eb8b6b7ce406f3,c07316dff77348caa08e94ddaed4bec3,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e/3
block-v1:MITxPRO+LASERxB1+1T2019+type@problem+block@4f5f94b2f95141e0a9d53a61da2276da,4f5f94b2f95141e0a9d53a61da2276da,MITxPRO+LASERxB1+1T2019,problem,Question #4,"Who is in the <b>strongest</b> position to judge value?
(x) 	The producer who creates the product
(x) 	The customer who arranges the exchange / is the middle-man between the producer and the user
(x) 	The user who operates the product
(x) 	Experts who review the product 

",11,4,4,41ad78dff2594088a4eb8b6b7ce406f3,c07316dff77348caa08e94ddaed4bec3,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e/4
block-v1:MITxPRO+LASERxB1+1T2019+type@problem+block@6d541c89590949f99af293c4f2333f67,6d541c89590949f99af293c4f2333f67,MITxPRO+LASERxB1+1T2019,problem,Question #5,"Systems could fail because of:
(x) 	Component failure
(x) 	Unexpected interaction among elements
(x) 	Failure of an accompanying system to deliver
(x) 	All of the above

",12,5,4,41ad78dff2594088a4eb8b6b7ce406f3,c07316dff77348caa08e94ddaed4bec3,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e,0a393e10d08c453ea9659c51826bd65e/5
