id,courseID,mod_type,order,chpModLabel,seqModLabel,stds,count,x,y
401ee1f6f3684be7b6124490f34adc5a,MITxPRO+AMxB+1T2018,html,1,"Entrance Survey (5 min, required)",Entrance Survey-Html,167,412,1594.1262f,1048.7539f
27bf430c96cb4d8da7368c4697de187b,MITxPRO+AMxB+1T2018,html,2,"Pre-Assessment (10 min, required)",Pre-Assessment-Html,169,348,1580.7435f,1018.63403f
0fec97a46b71456d9d9037e5edac7bb0,MITxPRO+AMxB+1T2018,html,3,"Pre-Assessment (10 min, required)",Pre-Assessment-Html,1,1,1598.8334f,1135.2795f
9b9fc7fd30954d7d9ad7d8f8e1cc11d8,MITxPRO+AMxB+1T2018,problem,4,"Pre-Assessment (10 min, required)",Pre-Assessment Completion Confirmation,169,969,1549.503f,1036.6296f
04d85100616943f8a3d2b084f403ba5f,MITxPRO+AMxB+1T2018,html,5,Get Started (25 min),Welcome-Html,169,497,1505.2043f,1015.3352f
d538c2a9c6004cc3b62a2514ff7d24f5,MITxPRO+AMxB+1T2018,html,6,Get Started (25 min),Schedule-Html,169,900,1428.7627f,978.5307f
8f607acba97e43d5b0426a4cccc4e61f,MITxPRO+AMxB+1T2018,html,7,Get Started (25 min),Schedule-Html,25,34,1457.319f,1055.2164f
ea676035d8d84252b7c2c117a74dfe5d,MITxPRO+AMxB+1T2018,html,8,Get Started (25 min),Discussion Forum-Html,169,410,1362.5731f,1000.16626f
fdccb644786547c5893474584cdfd58b,MITxPRO+AMxB+1T2018,html,9,Get Started (25 min),Discussion Etiquette-Html,168,471,1323.4915f,1011.3355f
53e13f644d1f4c73ba7f5bfd8020e71f,MITxPRO+AMxB+1T2018,html,10,Get Started (25 min),Tell Us About Yourself-IFrame Tool,168,488,1291.6849f,1022.1271f
2f6febb9f2514c06827aa6a4bfe1e69d,MITxPRO+AMxB+1T2018,html,11,Get Started (25 min),MIT Instructors-Html,168,609,1252.2881f,1039.4254f
44acee2074d5456593cfdab9b680dcab,MITxPRO+AMxB+1T2018,html,12,Get Started (25 min),MIT Instructors-Html,1,2,890.0381f,1091.7378f
7e3aba021b714e3180b14422eaf7cacb,MITxPRO+AMxB+1T2018,html,13,Get Started (25 min),MIT Instructors-Html,1,1,-747.6559f,2164.5066f
f17dc8f749c043d78ae4dfe383e55009,MITxPRO+AMxB+1T2018,html,14,Get Started (25 min),MIT Instructors-Html,0,0,-2062.1084f,318.38113f
a0077e8aad874abba1a1ec5c20ca947b,MITxPRO+AMxB+1T2018,html,15,Get Started (25 min),MIT Instructors-Html,0,0,-2012.4753f,-854.1555f
7bb3394632054742b3fff216a77b015e,MITxPRO+AMxB+1T2018,html,16,Get Started (25 min),MIT Instructors-Html,0,0,-734.5486f,2197.8376f
08823b78df0e4a3eb4c35cb2b838dee3,MITxPRO+AMxB+1T2018,html,17,Get Started (25 min),MIT Instructors-Html,0,0,-1895.0978f,-493.4822f
c3c0f88fff1f4523b144a41a6c2dbcd6,MITxPRO+AMxB+1T2018,html,18,Get Started (25 min),MIT Instructors-Html,0,0,-689.00635f,-2127.295f
3cce707300cc4bb99e13edcd32209318,MITxPRO+AMxB+1T2018,html,19,Get Started (25 min),MIT Instructors-Html,0,0,2150.6782f,500.75342f
089719b517f043f5b39636578e7ee001,MITxPRO+AMxB+1T2018,html,20,Get Started (25 min),MIT Instructors-Html,2,5,1340.1127f,702.4627f
a67e937f9f1941a9bb6052316e2f2fc4,MITxPRO+AMxB+1T2018,html,21,Get Started (25 min),MIT Course Assistants-Html,169,497,1212.0731f,1051.4388f
2349ef7ca9ce436caad6190a30656821,MITxPRO+AMxB+1T2018,html,22,Get Started (25 min),MIT Course Assistants-Html,2,3,-2175.0642f,132.66176f
5e49b3b1846c46a188f097e6520c706a,MITxPRO+AMxB+1T2018,html,23,Get Started (25 min),MIT Course Assistants-Html,0,0,-1931.389f,1561.192f
2a112bc1a1e048129e8e68e170e39248,MITxPRO+AMxB+1T2018,html,24,Get Started (25 min),MIT Course Assistants-Html,0,0,-2181.5466f,153.2446f
7c052992ccd9437b9b017f4a234bb68c,MITxPRO+AMxB+1T2018,html,25,Get Started (25 min),MIT Course Assistants-Html,0,0,-2157.685f,503.03604f
3bb9151bb02b44c1ab2befefde55671a,MITxPRO+AMxB+1T2018,html,26,Get Started (25 min),MIT Course Assistants-Html,0,0,2156.6323f,451.77716f
918870b390684763bcf0b9c3378c6996,MITxPRO+AMxB+1T2018,html,27,Get Started (25 min),MIT Course Assistants-Html,0,0,2341.113f,343.01328f
e42dc56d1f8d46ef902e3d38a93e0324,MITxPRO+AMxB+1T2018,html,28,Get Started (25 min),Boeing Course Assistants-Html,168,507,1180.1196f,1065.669f
63ef1fedf15b403ca346c0f4fdc8f5f0,MITxPRO+AMxB+1T2018,html,29,Get Started (25 min),Boeing Course Assistants-Html,3,11,870.34296f,960.68823f
